Task,Dataset Size,Time (s),n_demos,Traj Length Mean,Traj Length Std,Traj Length Min,Traj Length Max,Traj Length Median
lift,F,2.838,200,48.33,6.12,36,64,48.0
lift,H1,1.28,100,50.44,5.65,39,64,50.0
lift,H2,1.175,100,46.22,5.84,36,59,46.0
lift,Q1,0.561,50,51.68,5.24,43,63,52.0
lift,Q2,0.675,50,49.2,5.76,39,64,49.0
lift,Q3,0.58,50,47.98,5.53,36,59,48.0
lift,Q4,0.567,50,44.46,5.59,36,56,44.0
can,F,8.256,200,116.03,13.69,82,151,115.0
can,H1,5.351,100,118.18,14.14,82,151,119.5
can,H2,5.613,100,113.89,12.86,88,150,113.0
can,Q1,4.077,50,116.1,14.25,82,146,118.0
can,Q2,3.919,50,120.26,13.72,94,151,120.0
can,Q3,4.167,50,114.68,12.77,92,148,113.0
can,Q4,4.107,50,113.1,12.9,88,150,113.0
square,F,15.156,200,150.77,20.32,107,236,150.0
square,H1,5.206,100,148.81,18.4,109,194,146.0
square,H2,7.818,100,152.73,21.9,107,236,151.5
square,Q1,3.429,50,146.04,17.03,120,189,143.0
square,Q2,3.338,50,151.58,19.27,109,194,150.5
square,Q3,3.39,50,151.5,22.02,111,196,148.5
square,Q4,4.589,50,153.96,21.7,107,236,152.5
